Age,Sex,Employment_Type,Monthly_Income_INR,Existing_EMI_INR,CIBIL_Score,Loan_Amount_INR,Loan_Purpose,Housing_Type,Loan_Tenure_Months,Is_Default
23,male,Unskilled Resident,22274,7069,763,126000,Consumer Durable Loan,Self-Owned,27,0
54,female,Highly Skilled,151665,47888,850,178400,Consumer Durable Loan,Rented,15,0
29,male,Skilled Employee,89976,16037,900,358300,Consumer Durable Loan,Rented,42,0
40,male,Unskilled Resident,33649,8516,825,196950,Vehicle Loan,Self-Owned,11,0
22,male,Skilled Employee,57320,13454,778,75700,Home Renovation Loan,Self-Owned,15,0
43,male,Unskilled Resident,42376,11323,732,369650,Vehicle Loan,Self-Owned,24,0
29,female,Unskilled,25745,10027,597,59650,Vehicle Loan,Rented,24,1
36,male,Skilled Employee,95554,24994,708,364850,Business Loan,Rented,60,0
33,female,Skilled Employee,54199,15474,823,141550,Consumer Durable Loan,Self-Owned,30,0
57,female,Unskilled Resident,35229,9484,791,62900,Consumer Durable Loan,Self-Owned,24,1
64,female,Skilled Employee,55876,9947,617,37650,Consumer Durable Loan,Self-Owned,6,1
42,male,Skilled Employee,90948,25676,769,121350,Business Loan,Self-Owned,18,0
47,male,Unskilled Resident,23245,4850,762,126900,Vehicle Loan,Self-Owned,24,0
25,male,Skilled Employee,47214,9726,747,63200,Vehicle Loan,Rented,15,0
49,male,Skilled Employee,40726,7257,717,419300,Consumer Durable Loan,Self-Owned,30,0
33,male,Highly Skilled,136600,35106,773,242200,Business Loan,Rented,48,0
28,female,Highly Skilled,166898,62961,775,146150,Vehicle Loan,Self-Owned,21,0
26,male,Skilled Employee,58297,13579,668,411450,Vehicle Loan,Self-Owned,36,0
30,male,Unskilled Resident,41172,10033,756,101400,Consumer Durable Loan,Self-Owned,24,1
25,female,Skilled Employee,82874,28409,704,71650,Consumer Durable Loan,Rented,15,0
33,male,Skilled Employee,47657,9948,601,314450,Business Loan,Self-Owned,42,0
64,female,Skilled Employee,58850,24663,675,70450,Consumer Durable Loan,Self-Owned,13,0
29,male,Highly Skilled,115425,35326,594,328950,Vehicle Loan,Family-Owned,24,1
48,male,Unskilled Resident,41685,11850,798,87150,Consumer Durable Loan,Self-Owned,24,0
37,male,Unskilled Resident,38696,12280,748,178250,Education Loan,Self-Owned,12,0
34,male,Unskilled Resident,29551,5904,691,78450,Consumer Durable Loan,Self-Owned,15,0
23,male,Unskilled Resident,39578,13220,833,96800,Consumer Durable Loan,Rented,18,0
30,male,Highly Skilled,118831,30768,725,197950,Consumer Durable Loan,Self-Owned,36,0
50,male,Skilled Employee,47906,20080,605,119500,Vehicle Loan,Self-Owned,12,1
31,female,Unskilled Resident,43645,8757,684,86800,Consumer Durable Loan,Self-Owned,12,0
40,male,Highly Skilled,144028,43513,850,192850,Vehicle Loan,Self-Owned,30,0
38,male,Skilled Employee,47287,15577,666,40200,Consumer Durable Loan,Self-Owned,12,0
23,male,Skilled Employee,73660,11786,742,92250,Consumer Durable Loan,Family-Owned,45,0
27,male,Skilled Employee,50222,13012,779,228800,Vehicle Loan,Self-Owned,45,1
